"短校名","新生註冊率"
"中華科大",56.67
"華夏科大",56.36
"醒吾科大",54.35
"嘉南藥理大學",50.56
"建國科大",48.75
"中州科大",40
"聖約翰科大",20
"和春技術學院",15
"大華科大",13.33
"中華醫事科大",0
